Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15401830754.0773
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13619291361.2814
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,48174235294.1176
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,64409647193.8044
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20202479537.5193
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,68915875214.6537
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,62327983579.5899
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25944504645.6957
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,252548179964.897
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,303080865603.645
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31081901909.2156
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,17470436258.5131
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,205257014892.502
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,163988594921.902
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2011302198827.45
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,44993992365.1297
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,181667190075.541
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,7899879086.43081
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,8871026074.19762
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,34343961072.8235
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,51953744530.2445
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,54751510087.7803
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,15725847979.4022
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,11971345002.7757
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,14206359006.8095
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,5542053845.29274
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,128919944681.869
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,12606338448.547
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,596054591863.312
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,239986922638.902
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,251019278416.197
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1693113904262.89
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,51514222381.8428
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,105720354988.541
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,54331588482.3058
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,8300784856.87904
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,41906113685.9324
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,759937390496.669
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,153882982016.281
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,59907674027.4676
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,17133500000
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 05/10/2023,,,,
